point,Total Privacy Cost
1,0.0011323807135807358
648,0.0011966343531523709
455,0.001197061040132348
308,0.001218748080345705
727,0.001293709392957611
156,0.0013033626837572886
868,0.0013317026614133296
8,0.001334510226339247
883,0.0013557178889773364
814,0.0013631507716802018
88,0.0013798488401651722
961,0.0014082402947716032
758,0.0014404925976988444
908,0.0014537395751393041
330,0.0014876134071475707
12,0.0014915480827826916
465,0.0015122714251684368
793,0.0015333449209537799
675,0.0015496946897109933
367,0.0015796646246152614
971,0.0015916078762387906
888,0.0015996949463462312
875,0.0016058447968132594
919,0.0016076398924543913
85,0.001608248740263251
666,0.0016147732739885978
835,0.0016261915978134833
377,0.001636267843076429
222,0.0016418031656513978
205,0.0016452299825758243
243,0.0016462001017617466
669,0.0016477846152573123
761,0.0016507133749964118
114,0.0016530914545256946
982,0.001663028654531248
107,0.0016705659132800281
443,0.0016720043431742205
261,0.0016787185850346178
9,0.0016915280862466466
655,0.0016921449372778617
765,0.0017066764380250052
373,0.001711792388226548
362,0.0017127222245203848
410,0.0017216123485658717
914,0.001722841193714559
577,0.001725931657088499
241,0.0017274062747526216
73,0.0017387786991044662
469,0.0017450642301455675
398,0.0017472772206421484
556,0.0017479167906450691
315,0.0017519364721650214
251,0.0017592954235942193
283,0.0017815723319375477
27,0.0018066556353097522
18,0.0018144837430697214
57,0.001816496920925377
952,0.0018236513458657912
15,0.0018265461356607499
101,0.0018295125095828875
617,0.0018327910004941538
777,0.0018515641854682371
103,0.001855666952600862
128,0.0018607322122366652
519,0.0018741592490328397
201,0.0018747311052636378
747,0.001897946083116904
791,0.0019042451683314453
526,0.0019111531265253259
372,0.001916330435156074
285,0.001919546976975964
891,0.0019250537131022378
812,0.001934265621498795
263,0.001947222081167429
415,0.0019479553992278872
724,0.001948567578812287
963,0.001954334382126263
609,0.0019621091313901436
166,0.001967111238355768
612,0.001974689621746376
978,0.0019798426609043893
585,0.0019968254203345834
618,0.002007308486424499
237,0.002017036796693548
534,0.0020284750896644938
347,0.00203374895677414
529,0.002058359121755243
521,0.002082082328087076
593,0.0020838213134673697
839,0.002085906439019716
402,0.002089615449513259
774,0.002095183645317068
962,0.002102131660861512
170,0.002117092398815139
193,0.0021351503610660327
559,0.002136267233303315
824,0.0021498653332818257
329,0.002163040309011823
941,0.0021665746626144903
580,0.0022150148994116935
301,0.002216333079621266
490,0.002231856853806468
636,0.002247020631632227
975,0.002248841392568601
564,0.0022518274735071207
598,0.002257142734551338
575,0.0022733029324307433
213,0.002279671848188684
936,0.002301928756022664
51,0.002306513151081431
637,0.0023087271387859957
671,0.002313894123958172
800,0.0023209694739936056
164,0.0023258142140537893
492,0.002337606947973571
21,0.0023412193881780594
209,0.002350581765882442
411,0.0023575871215960435
783,0.002360259306214293
126,0.0023627666554108615
165,0.002363501717765232
733,0.0023704286926149723
108,0.002378717013001309
339,0.002389336349355979
890,0.0023983922179403785
762,0.002403570831791948
683,0.002405980632657516
337,0.002407081096933255
162,0.0024083007321819665
672,0.0024197191460267713
78,0.0024294888333885097
856,0.0024323276854146545
538,0.0024412798729633867
298,0.0024467138072469855
645,0.00245593703089072
331,0.0024736338497355114
590,0.0024747719562629475
296,0.0024799615092071627
307,0.0024807012606296386
725,0.002481274946529347
211,0.0024893947251158443
177,0.002489592551858308
689,0.0025092849633419644
227,0.0025212024091210558
357,0.0025511524511553953
32,0.002565632455787358
439,0.002566281594423019
416,0.0025667213823729546
990,0.0025769552303442013
911,0.0025834477263966434
366,0.0025978763570739492
413,0.0026242278799444452
709,0.002628539030562675
277,0.002634576712585086
853,0.0026391962052796343
938,0.002648279724478629
112,0.0026540916505630625
276,0.0026551960407553187
399,0.0026577170736440435
66,0.0026692865213184818
197,0.0026792759716854665
215,0.0026901066591437247
104,0.0026923867135149456
552,0.0026993731305908052
83,0.0027007673561324826
584,0.002708413438387376
821,0.002726483513885413
823,0.0027282418661357315
510,0.00274025448444999
983,0.002741906863689139
927,0.002750515125405015
23,0.002751170622286589
703,0.002769326552002239
426,0.002773693049728428
323,0.0027775837932069013
375,0.0027776716836561727
358,0.0027953493938835056
453,0.002800599803072944
20,0.002803374234188121
252,0.0028033828150981783
789,0.0028047611642912813
817,0.002806610580598877
732,0.0028077965593319557
802,0.0028087663104930096
319,0.0028097579572636906
621,0.002820187932401705
638,0.0028213421706345504
84,0.002849349079664564
833,0.0028531546211467964
764,0.0028623306931479637
395,0.002862580988432244
345,0.0028626563617961238
210,0.0028714771458677566
225,0.002876453083416437
118,0.002876836661405832
59,0.0028829612426727194
186,0.002890235593220246
130,0.0028975250980057036
106,0.0029209326383632835
599,0.002929924954504648
482,0.0029565716261352494
100,0.00295822172714837
691,0.0029606732311166827
681,0.0029610701663952124
143,0.0029728653378718974
351,0.0029902244588380397
457,0.003010630980840797
183,0.003019146170533038
743,0.0030200018577607344
450,0.0030207948054489036
742,0.00302562195429172
984,0.003026819185742257
953,0.003071847459395487
477,0.0030756395036168798
949,0.003083377430506324
744,0.003086523110308687
632,0.0030933086149308427
146,0.0031049835136845077
350,0.0031175293183727617
803,0.003118164980078001
10,0.0031205556204453515
755,0.0031208112335927183
613,0.003124719848029503
507,0.003124937270862702
179,0.003126692647942268
862,0.003126952475465898
901,0.0031282271581367753
572,0.0031401303419576368
830,0.0031554751575690403
769,0.003155638835676416
334,0.003167314807721148
475,0.0031701116170837675
928,0.003172716108836227
361,0.0031860888737489097
311,0.003187399263690339
369,0.0032026327282178952
881,0.0032101654125061252
780,0.003220069056086239
596,0.0032212334017256536
264,0.003250204608146532
159,0.0032590918875007187
223,0.0032592168632327436
474,0.0032629318122548833
302,0.003279320823522368
654,0.003281643549941593
498,0.003283382615468632
190,0.0032942242131765325
926,0.0033090347799619607
662,0.003332490613399848
55,0.0033374588690936874
536,0.0033406828349014403
734,0.003344281414270393
36,0.0033443646930942407
233,0.0033561289180015228
822,0.0033785609909114857
79,0.003397243692616277
591,0.0033973999906845758
651,0.003398584868831124
753,0.003398696477589888
520,0.003400185430588835
944,0.003400734962784657
45,0.0034076632083915796
124,0.0034127455208578564
834,0.00341409561270839
438,0.0034218698770148884
449,0.003431708651122462
